  Loading gcc/8.2.0
100 x 1000 x 100, 0.012728
100 x 2000 x 100, 0.026430
100 x 3000 x 100, 0.037127
100 x 4000 x 100, 0.049807
100 x 5000 x 100, 0.063364
100 x 6000 x 100, 0.091437
100 x 7000 x 100, 0.112428
100 x 8000 x 100, 0.138309
100 x 9000 x 100, 0.166310
100 x 10000 x 100, 0.189350
100 x 11000 x 100, 0.213580
100 x 12000 x 100, 0.233339
100 x 13000 x 100, 0.256534
100 x 14000 x 100, 0.276253
100 x 15000 x 100, 0.317008
100 x 16000 x 100, 0.320582
100 x 17000 x 100, 0.343283
100 x 18000 x 100, 0.426305
100 x 19000 x 100, 0.464791
100 x 20000 x 100, 0.480127
100 x 21000 x 100, 0.432548
100 x 22000 x 100, 0.550158
100 x 23000 x 100, 0.591513
100 x 24000 x 100, 0.591372
100 x 25000 x 100, 0.554606
100 x 26000 x 100, 0.664441
100 x 27000 x 100, 0.589976
100 x 28000 x 100, 0.810215
100 x 29000 x 100, 0.643351
100 x 30000 x 100, 0.847923
100 x 31000 x 100, 1.111704
100 x 32000 x 100, 0.753451
100 x 33000 x 100, 0.775794
100 x 34000 x 100, 1.018873
100 x 35000 x 100, 0.866596
100 x 36000 x 100, 1.152980
100 x 37000 x 100, 1.214685
100 x 38000 x 100, 1.420428
100 x 39000 x 100, 1.345603
100 x 40000 x 100, 1.305859
100 x 41000 x 100, 1.185804
100 x 42000 x 100, 1.210165
100 x 43000 x 100, 1.971088
100 x 44000 x 100, 2.748089
100 x 45000 x 100, 1.974374
100 x 46000 x 100, 1.733849
100 x 47000 x 100, 2.337829
100 x 48000 x 100, 2.619384
100 x 49000 x 100, 1.899502
100 x 50000 x 100, 2.952665
100 x 51000 x 100, 2.830766
100 x 52000 x 100, 3.564990
100 x 53000 x 100, 3.218931
100 x 54000 x 100, 2.636071
100 x 55000 x 100, 3.558877
100 x 56000 x 100, 2.774880
100 x 57000 x 100, 4.113402
100 x 58000 x 100, 3.290550
100 x 59000 x 100, 2.997418
100 x 60000 x 100, 3.645238
100 x 61000 x 100, 5.479534
100 x 62000 x 100, 5.566062
100 x 63000 x 100, 3.873808
100 x 64000 x 100, 3.721125
100 x 65000 x 100, 4.032960
100 x 66000 x 100, 4.179901
100 x 67000 x 100, 5.102842
100 x 68000 x 100, 4.917255
100 x 69000 x 100, 5.559308
100 x 70000 x 100, 4.725615
100 x 71000 x 100, 4.941039
100 x 72000 x 100, 5.696360
100 x 73000 x 100, 6.105643
100 x 74000 x 100, 5.561182
100 x 75000 x 100, 5.277931
100 x 76000 x 100, 5.955350
100 x 77000 x 100, 6.127807
100 x 78000 x 100, 6.010560
100 x 79000 x 100, 6.024826
100 x 80000 x 100, 6.366275
100 x 81000 x 100, 7.095838
100 x 82000 x 100, 6.934943
100 x 83000 x 100, 6.730427
100 x 84000 x 100, 7.864463
100 x 85000 x 100, 7.328921
100 x 86000 x 100, 7.440175
100 x 87000 x 100, 7.346227
100 x 88000 x 100, 7.673312
100 x 89000 x 100, 7.360328
100 x 90000 x 100, 7.412366
100 x 91000 x 100, 7.912876
100 x 92000 x 100, 10.410938
100 x 93000 x 100, 8.907804
100 x 94000 x 100, 7.797189
100 x 95000 x 100, 9.551474
100 x 96000 x 100, 8.824132
100 x 97000 x 100, 8.717871
100 x 98000 x 100, 9.361505
100 x 99000 x 100, 9.829924
100 x 100000 x 100, 9.068529
