N x M x L, walltime
100 x 1000 x 100, 0.011323
100 x 2000 x 100, 0.025038
100 x 3000 x 100, 0.043454
100 x 4000 x 100, 0.051983
100 x 5000 x 100, 0.067923
100 x 6000 x 100, 0.080829
100 x 7000 x 100, 0.114748
100 x 8000 x 100, 0.136510
100 x 9000 x 100, 0.172982
100 x 10000 x 100, 0.193992
100 x 11000 x 100, 0.225637
100 x 12000 x 100, 0.239814
100 x 13000 x 100, 0.272156
100 x 14000 x 100, 0.305663
100 x 15000 x 100, 0.303124
100 x 16000 x 100, 0.331833
100 x 17000 x 100, 0.350000
100 x 18000 x 100, 0.372377
100 x 19000 x 100, 0.396146
100 x 20000 x 100, 0.430398
100 x 21000 x 100, 0.509120
100 x 22000 x 100, 0.469171
100 x 23000 x 100, 0.602014
100 x 24000 x 100, 0.650040
100 x 25000 x 100, 0.547804
100 x 26000 x 100, 0.575919
100 x 27000 x 100, 0.789544
100 x 28000 x 100, 0.640228
100 x 29000 x 100, 0.690607
100 x 30000 x 100, 0.974673
100 x 31000 x 100, 0.728995
100 x 32000 x 100, 0.767486
100 x 33000 x 100, 0.815497
100 x 34000 x 100, 1.253486
100 x 35000 x 100, 1.374406
100 x 36000 x 100, 0.916364
100 x 37000 x 100, 2.131110
100 x 38000 x 100, 1.047574
100 x 39000 x 100, 1.767909
100 x 40000 x 100, 1.156973
100 x 41000 x 100, 1.293414
100 x 42000 x 100, 2.161377
100 x 43000 x 100, 1.415553
100 x 44000 x 100, 1.433217
100 x 45000 x 100, 2.403031
100 x 46000 x 100, 2.777838
100 x 47000 x 100, 1.766789
100 x 48000 x 100, 1.864344
100 x 49000 x 100, 1.992974
100 x 50000 x 100, 2.061032
100 x 51000 x 100, 3.235965
100 x 52000 x 100, 3.864236
100 x 53000 x 100, 2.531873
100 x 54000 x 100, 4.363355
100 x 55000 x 100, 2.621354
100 x 56000 x 100, 3.333810
100 x 57000 x 100, 2.866449
100 x 58000 x 100, 3.011658
100 x 59000 x 100, 4.210005
100 x 60000 x 100, 3.503752
100 x 61000 x 100, 3.512872
100 x 62000 x 100, 3.454357
100 x 63000 x 100, 4.600640
100 x 64000 x 100, 4.022923
100 x 65000 x 100, 4.688013
100 x 66000 x 100, 4.546496
100 x 67000 x 100, 4.282266
100 x 68000 x 100, 4.495871
100 x 69000 x 100, 4.576610
100 x 70000 x 100, 5.291449
100 x 71000 x 100, 5.772217
100 x 72000 x 100, 5.216719
100 x 73000 x 100, 5.957732
100 x 74000 x 100, 5.513815
100 x 75000 x 100, 7.091180
100 x 76000 x 100, 6.159030
100 x 77000 x 100, 6.048957
100 x 78000 x 100, 8.184362
100 x 79000 x 100, 6.881356
100 x 80000 x 100, 7.570008
100 x 81000 x 100, 7.804119
100 x 82000 x 100, 7.276643
100 x 83000 x 100, 6.904663
100 x 84000 x 100, 8.145782
100 x 85000 x 100, 7.355040
100 x 86000 x 100, 8.156412
100 x 87000 x 100, 9.944457
100 x 88000 x 100, 7.713358
100 x 89000 x 100, 7.951947
100 x 90000 x 100, 8.144359
100 x 91000 x 100, 9.283446
100 x 92000 x 100, 9.939812
100 x 93000 x 100, 11.261068
100 x 94000 x 100, 9.394559
100 x 95000 x 100, 10.130127
100 x 96000 x 100, 11.153691
100 x 97000 x 100, 12.496462
100 x 98000 x 100, 10.324955
100 x 99000 x 100, 12.190503
100 x 100000 x 100, 10.185484
