N x M x L, walltime
100 x 1000 x 100, 0.062718
100 x 2000 x 100, 0.284097
100 x 3000 x 100, 0.223312
100 x 4000 x 100, 0.297733
100 x 5000 x 100, 0.428837
100 x 6000 x 100, 1.032157
100 x 7000 x 100, 1.192882
100 x 8000 x 100, 1.265091
100 x 9000 x 100, 1.172681
100 x 10000 x 100, 1.799703
100 x 11000 x 100, 2.016427
100 x 12000 x 100, 1.538884
100 x 13000 x 100, 3.019488
100 x 14000 x 100, 2.665943
100 x 15000 x 100, 1.219920
100 x 16000 x 100, 1.350110
100 x 17000 x 100, 1.738410
100 x 18000 x 100, 1.798789
100 x 19000 x 100, 1.592513
100 x 20000 x 100, 2.371723
100 x 21000 x 100, 4.214633
100 x 22000 x 100, 4.274880
100 x 23000 x 100, 3.626148
100 x 24000 x 100, 3.165740
100 x 25000 x 100, 3.253941
100 x 26000 x 100, 2.925919
100 x 27000 x 100, 3.108285
100 x 28000 x 100, 5.483619
100 x 29000 x 100, 3.273222
100 x 30000 x 100, 2.818222
100 x 31000 x 100, 3.485852
100 x 32000 x 100, 5.279652
100 x 33000 x 100, 6.496949
100 x 34000 x 100, 11.711544
100 x 35000 x 100, 5.642427
100 x 36000 x 100, 4.794379
100 x 37000 x 100, 5.761045
100 x 38000 x 100, 5.924662
100 x 39000 x 100, 6.455713
100 x 40000 x 100, 7.075465
100 x 41000 x 100, 9.542363
100 x 42000 x 100, 8.842776
100 x 43000 x 100, 8.972450
100 x 44000 x 100, 13.225268
100 x 45000 x 100, 14.907722
100 x 46000 x 100, 26.796710
100 x 47000 x 100, 18.111618
100 x 48000 x 100, 21.909274
100 x 49000 x 100, 12.213173
100 x 50000 x 100, 24.541918
100 x 51000 x 100, 39.902184
100 x 52000 x 100, 29.015506
100 x 53000 x 100, 32.099698
100 x 54000 x 100, 37.105789
100 x 55000 x 100, 42.016533
100 x 56000 x 100, 35.021297
100 x 57000 x 100, 19.995370
100 x 58000 x 100, 14.209974
100 x 59000 x 100, 11.644575
100 x 60000 x 100, 17.815074
100 x 61000 x 100, 17.945708
100 x 62000 x 100, 13.663933
100 x 63000 x 100, 20.995160
100 x 64000 x 100, 41.007765
100 x 65000 x 100, 25.289909
100 x 66000 x 100, 19.841621
100 x 67000 x 100, 30.593794
100 x 68000 x 100, 27.102812
100 x 69000 x 100, 31.095033
100 x 70000 x 100, 37.467482
100 x 71000 x 100, 35.705399
100 x 72000 x 100, 35.173527
100 x 73000 x 100, 26.914554
100 x 74000 x 100, 30.156766
100 x 75000 x 100, 41.942845
100 x 76000 x 100, 26.016897
100 x 77000 x 100, 20.263159
100 x 78000 x 100, 23.102077
100 x 79000 x 100, 24.465974
100 x 80000 x 100, 28.237156
100 x 81000 x 100, 24.203151
100 x 82000 x 100, 16.437271
