  Loading gcc/8.2.0
100 x 1000 x 100, 0.011338
100 x 2000 x 100, 0.023691
100 x 3000 x 100, 0.041161
100 x 4000 x 100, 0.048621
100 x 5000 x 100, 0.062323
100 x 6000 x 100, 0.084026
100 x 7000 x 100, 0.111635
100 x 8000 x 100, 0.139391
100 x 9000 x 100, 0.166687
100 x 10000 x 100, 0.194024
100 x 11000 x 100, 0.218115
100 x 12000 x 100, 0.240454
100 x 13000 x 100, 0.262432
100 x 14000 x 100, 0.284336
100 x 15000 x 100, 0.306854
100 x 16000 x 100, 0.329098
100 x 17000 x 100, 0.351943
100 x 18000 x 100, 0.375502
100 x 19000 x 100, 0.399250
100 x 20000 x 100, 0.423542
100 x 21000 x 100, 0.449051
100 x 22000 x 100, 0.490300
100 x 23000 x 100, 0.501799
100 x 24000 x 100, 0.527981
100 x 25000 x 100, 0.560390
100 x 26000 x 100, 0.588192
100 x 27000 x 100, 0.618318
100 x 28000 x 100, 0.649800
100 x 29000 x 100, 0.679773
100 x 30000 x 100, 0.718286
100 x 31000 x 100, 0.745149
100 x 32000 x 100, 0.787837
100 x 33000 x 100, 0.832203
100 x 34000 x 100, 0.862846
100 x 35000 x 100, 1.277927
100 x 36000 x 100, 1.228406
100 x 37000 x 100, 1.030130
100 x 38000 x 100, 1.424657
100 x 39000 x 100, 1.146969
100 x 40000 x 100, 1.193529
100 x 41000 x 100, 1.303041
100 x 42000 x 100, 1.745730
100 x 43000 x 100, 1.425365
100 x 44000 x 100, 1.534068
100 x 45000 x 100, 1.632797
100 x 46000 x 100, 1.735309
100 x 47000 x 100, 2.091275
100 x 48000 x 100, 1.886870
100 x 49000 x 100, 2.013714
100 x 50000 x 100, 2.120805
100 x 51000 x 100, 2.193640
100 x 52000 x 100, 2.515130
100 x 53000 x 100, 2.493001
100 x 54000 x 100, 2.690442
100 x 55000 x 100, 3.635099
100 x 56000 x 100, 3.000371
100 x 57000 x 100, 4.282690
100 x 58000 x 100, 3.037344
100 x 59000 x 100, 3.350977
100 x 60000 x 100, 3.500309
100 x 61000 x 100, 4.163235
100 x 62000 x 100, 3.857029
100 x 63000 x 100, 3.957824
100 x 64000 x 100, 5.011801
100 x 65000 x 100, 5.600350
100 x 66000 x 100, 4.546088
100 x 67000 x 100, 6.517322
100 x 68000 x 100, 4.872046
100 x 69000 x 100, 4.974704
100 x 70000 x 100, 5.239718
100 x 71000 x 100, 5.317230
100 x 72000 x 100, 6.759266
100 x 73000 x 100, 5.649077
100 x 74000 x 100, 6.290595
100 x 75000 x 100, 7.365388
100 x 76000 x 100, 8.331443
100 x 77000 x 100, 6.552228
100 x 78000 x 100, 6.890739
100 x 79000 x 100, 6.917636
100 x 80000 x 100, 6.960586
100 x 81000 x 100, 7.258771
100 x 82000 x 100, 9.066031
100 x 83000 x 100, 7.634582
100 x 84000 x 100, 7.509877
100 x 85000 x 100, 9.515568
100 x 86000 x 100, 8.112270
100 x 87000 x 100, 8.418301
100 x 88000 x 100, 10.131372
100 x 89000 x 100, 8.988205
100 x 90000 x 100, 9.590927
100 x 91000 x 100, 9.120765
100 x 92000 x 100, 9.322336
100 x 93000 x 100, 9.458210
100 x 94000 x 100, 9.645055
100 x 95000 x 100, 11.288018
100 x 96000 x 100, 9.989002
100 x 97000 x 100, 10.053875
100 x 98000 x 100, 10.454269
100 x 99000 x 100, 10.550432
100 x 100000 x 100, 12.077331
