N, Solutions, walltime
1, 1, 0.000186
2, 0, 0.000137
3, 0, 0.000166
4, 2, 0.000879
5, 10, 0.000149
6, 4, 0.000147
7, 40, 0.000169
8, 92, 0.000255
9, 352, 0.000693
10, 724, 0.002620
11, 2680, 0.012231
12, 14200, 0.063350
13, 73712, 0.429961
14, 365596, 2.614846
15, 2279184, 16.974900
16, 14772512, 116.284089
17, 95815104, 971.531665
