Solutions, walltime
1, 0.000124
0, 0.000117
0, 0.000104
2, 0.000117
10, 0.000109
4, 0.000117
40, 0.000160
92, 0.000308
352, 0.001091
724, 0.004337
2680, 0.023716
14200, 0.123145
73712, 0.782504
365596, 4.699823
2279184, 33.515996
14772512, 229.261848
95815104, 1812.590317
