N, Solutions, walltime
1, 1, 0.003250
2, 0, 0.003209
3, 0, 0.003258
4, 2, 0.003308
5, 10, 0.003269
6, 4, 0.003267
7, 40, 0.003224
8, 92, 0.000388
9, 352, 0.000650
10, 724, 0.003323
11, 2680, 0.009743
12, 14200, 0.042203
13, 73712, 0.234721
14, 365596, 1.372644
15, 2279184, 8.726298
16, 14772512, 59.561853
