N, Solutions, walltime
1, 1, 0.000200
2, 0, 0.000176
3, 0, 0.000235
4, 2, 0.000251
5, 10, 0.000204
6, 4, 0.000219
7, 40, 0.000202
8, 92, 0.000972
9, 352, 0.000594
10, 724, 0.001960
11, 2680, 0.011336
12, 14200, 0.059728
13, 73712, 0.338471
14, 365596, 2.035126
15, 2279184, 13.102749
16, 14772512, 107.093725
