N, Solutions, walltime
1, 1, 0.001724
2, 0, 0.000297
3, 0, 0.000277
4, 2, 0.003211
5, 10, 0.003329
6, 4, 0.000337
7, 40, 0.003312
8, 92, 0.000357
9, 352, 0.001006
10, 724, 0.001982
11, 2680, 0.008560
12, 14200, 0.042885
13, 73712, 0.235019
14, 365596, 1.388083
15, 2279184, 11.539714
16, 14772512, 80.185189
