"Problem Size","Time"
"N=100, M=100 for T=50000",3.060000
"N=200, M=200 for T=100000",22.310000
"N=300, M=300 for T=150000",74.230000
"N=400, M=400 for T=200000",174.990000
"N=500, M=500 for T=250000",337.380000
"N=600, M=600 for T=300000",593.530000
"N=700, M=700 for T=350000",933.610000
"N=800, M=800 for T=400000",1388.620000
 
 









