PI, Walltime, Number_of_elements
3.200000, 0.004158, 1000
3.149200, 0.009932, 10000
3.139600, 0.109579, 100000
3.140252, 1.140033, 1000000
3.141474, 11.235229, 10000000
3.141658, 109.913778, 100000000
3.141606, 1105.761065, 1000000000
