PI, Walltime, Number_of_elements
3.140000, 0.000645, 1000
3.160400, 0.008905, 10000
3.145360, 0.051900, 100000
3.140628, 0.457468, 1000000
3.142367, 4.916004, 10000000
3.141485, 72.182047, 100000000
3.141715, 898.999565, 1000000000
