PI, Walltime, Number_of_elements
3.112000, 0.000054, 1000
3.157600, 0.000305, 10000
3.142600, 0.002948, 100000
3.140132, 0.029096, 1000000
3.141756, 0.290432, 10000000
3.141445, 2.901106, 100000000
3.141558, 29.022280, 1000000000
3.141561, 40.907533, 1410065408
3.141600, 35.263413, 1215752192
