PI, Walltime, Number_of_elements
3.192000, 0.001359, 1000
3.150400, 0.011872, 10000
3.140920, 0.107409, 100000
3.141824, 0.954396, 1000000
3.141813, 10.187204, 10000000
3.141580, 99.788586, 100000000
3.141686, 847.755018, 1000000000
3.141598, 1426.749079, 1410065408
3.141643, 1192.033442, 1215752192
