PI, Walltime, Number_of_elements
3.024000, 0.001819, 1000
3.151200, 0.019727, 10000
3.147800, 0.034017, 100000
3.143284, 0.741745, 1000000
3.141495, 3.718969, 10000000
3.141570, 104.470484, 100000000
3.141622, 908.643320, 1000000000
3.141589, 980.706885, 1410065408
3.141577, 819.895682, 1215752192
