PI, Walltime, Number_of_elements
3.060000, 0.001820, 1000
3.146400, 0.011973, 10000
3.146200, 0.116537, 100000
3.144804, 1.099842, 1000000
3.141114, 10.051656, 10000000
3.141672, 111.077786, 100000000
3.141538, 1118.377127, 1000000000
