PI, Walltime, Number_of_elements
3.160000, 0.000752, 1000
3.150000, 0.005803, 10000
3.146320, 0.035783, 100000
3.144052, 0.595847, 1000000
3.141916, 5.369492, 10000000
3.141275, 48.729686, 100000000
3.141710, 586.538602, 1000000000
3.141591, 1012.645654, 1410065408
3.141574, 857.690421, 1215752192
