walltime, N, M
8.185915, 500, 500
99.289860, 1000, 1000
210.924904, 1500, 1500
816.109725, 2000, 2000
1501.461551, 2500, 2500
1840.826136, 3000, 3000
1650.460717, 3500, 3500
2241.158453, 4000, 4000
2468.141934, 4500, 4500
3320.061715, 5000, 5000
4131.899926, 5500, 5500
2772.004026, 6000, 6000
2119.620694, 6500, 6500
2432.363444, 7000, 7000
2801.392416, 7500, 7500
3174.455558, 8000, 8000
3591.943329, 8500, 8500
4027.660960, 9000, 9000
4478.654668, 9500, 9500
4967.424696, 10000, 10000
