walltime, N, M
1.569348, 500, 500
6.297882, 1000, 1000
75.199594, 1500, 1500
142.521328, 2000, 2000
222.259200, 2500, 2500
320.354554, 3000, 3000
433.950572, 3500, 3500
566.737496, 4000, 4000
717.731825, 4500, 4500
885.521919, 5000, 5000
