walltime, N, M
2.478821, 500, 500
47.901307, 1000, 1000
136.873492, 1500, 1500
240.808677, 2000, 2000
384.625167, 2500, 2500
551.969217, 3000, 3000
748.489140, 3500, 3500
822.498530, 4000, 4000
922.575108, 4500, 4500
1123.406616, 5000, 5000
