walltime, N, M
1.699904, 500, 500
8.600684, 1000, 1000
84.391384, 1500, 1500
157.421203, 2000, 2000
249.731956, 2500, 2500
360.911592, 3000, 3000
491.757932, 3500, 3500
628.337492, 4000, 4000
822.253267, 4500, 4500
1010.036163, 5000, 5000
