walltime, N, M
3.229052, 500, 500
54.081622, 1000, 1000
170.774959, 1500, 1500
283.728765, 2000, 2000
441.324311, 2500, 2500
610.245560, 3000, 3000
889.127620, 3500, 3500
1179.362990, 4000, 4000
1526.612209, 4500, 4500
1769.104306, 5000, 5000
