walltime, N, M
1.243902, 500, 500
4.403202, 1000, 1000
61.019260, 1500, 1500
123.556743, 2000, 2000
194.437175, 2500, 2500
279.259915, 3000, 3000
379.230806, 3500, 3500
495.190140, 4000, 4000
626.782038, 4500, 4500
773.054925, 5000, 5000
