problemsize, time
N=M=H=10 for T=5000 timesteps,0.16
N=M=H=20 for T=10000 timesteps,2.68
N=M=H=30 for T=15000 timesteps,13.64
N=M=H=40 for T=20000 timesteps,43.96
N=M=H=50 for T=25000 timesteps,106.01
N=M=H=100 for T=50000 timesteps,1762.66
N=M=H=200 for T=100000 timesteps,28113.25
