Nx, Ny, particle_count, T, walltime, iteration_avg, max_Mass, number_of_threads
100, 100, 1000, 50, 3.528090, 0.070552, 1, 3
100, 100, 2000, 50, 14.559654, 0.291176, 1, 3
100, 100, 3000, 50, 31.135249, 0.622680, 1, 3
100, 100, 4000, 50, 56.799345, 1.135954, 1, 3
100, 100, 5000, 50, 89.641010, 1.792775, 1, 3
100, 100, 6000, 50, 122.779086, 2.455533, 1, 3
100, 100, 7000, 50, 168.276524, 3.365473, 1, 3
100, 100, 8000, 50, 223.129693, 4.462528, 1, 3
100, 100, 9000, 50, 283.248924, 5.664906, 1, 3
100, 100, 10000, 50, 351.367280, 7.027262, 1, 3
