Nx, Ny, particle_count, T, walltime, iteration_avg, max_Mass, number_of_threads
100, 100, 1000, 50, 2.888172, 0.057754, 1, 4
100, 100, 2000, 50, 11.331986, 0.226623, 1, 4
100, 100, 3000, 50, 24.347011, 0.486915, 1, 4
100, 100, 4000, 50, 43.398085, 0.867928, 1, 4
100, 100, 5000, 50, 67.981522, 1.359589, 1, 4
100, 100, 6000, 50, 98.241131, 1.964774, 1, 4
100, 100, 7000, 50, 134.830684, 2.696557, 1, 4
100, 100, 8000, 50, 166.209659, 3.324127, 1, 4
100, 100, 9000, 50, 219.687033, 4.393668, 1, 4
100, 100, 10000, 50, 261.355495, 5.227029, 1, 4
