Nx, Ny, particle_count, T, walltime, iteration_avg, max_Mass, number_of_threads
100, 100, 1000, 50, 1.566566, 0.031321, 1, 8
100, 100, 2000, 50, 7.174951, 0.143482, 1, 8
100, 100, 3000, 50, 14.297606, 0.285927, 1, 8
100, 100, 4000, 50, 24.509684, 0.490161, 1, 8
100, 100, 5000, 50, 34.583216, 0.691623, 1, 8
100, 100, 6000, 50, 55.667894, 1.113309, 1, 8
100, 100, 7000, 50, 70.002568, 1.399993, 1, 8
100, 100, 8000, 50, 97.918990, 1.958314, 1, 8
100, 100, 9000, 50, 106.316445, 2.126255, 1, 8
100, 100, 10000, 50, 163.898356, 3.277886, 1, 8
