Nx, Ny, particle_count, T, walltime, iteration_avg, max_Mass, number_of_threads
100, 100, 1000, 50, 5.650057, 0.112992, 1, 2
100, 100, 2000, 50, 20.826304, 0.416509, 1, 2
100, 100, 3000, 50, 47.061536, 0.941206, 1, 2
100, 100, 4000, 50, 83.431323, 1.668593, 1, 2
100, 100, 5000, 50, 134.492068, 2.689800, 1, 2
100, 100, 6000, 50, 189.345349, 3.786858, 1, 2
100, 100, 7000, 50, 258.886000, 5.177662, 1, 2
100, 100, 8000, 50, 335.213017, 6.704194, 1, 2
100, 100, 9000, 50, 424.718588, 8.494299, 1, 2
100, 100, 10000, 50, 516.605893, 10.332037, 1, 2
