Nx, Ny, particle_count, T, walltime, iteration_avg, max_Mass, number_of_threads
100, 100, 1000, 50, 2.290165, 0.045794, 1, 5
100, 100, 2000, 50, 9.169932, 0.183381, 1, 5
100, 100, 3000, 50, 19.531617, 0.390608, 1, 5
100, 100, 4000, 50, 34.203931, 0.684045, 1, 5
100, 100, 5000, 50, 54.313828, 1.086235, 1, 5
100, 100, 6000, 50, 76.553157, 1.531013, 1, 5
100, 100, 7000, 50, 103.520585, 2.070353, 1, 5
100, 100, 8000, 50, 136.368959, 2.727312, 1, 5
100, 100, 9000, 50, 172.167574, 3.443279, 1, 5
100, 100, 10000, 50, 209.212206, 4.184163, 1, 5
