Nx, Ny, particle_count, T, walltime, iteration_avg, max_Mass, number_of_threads
100, 100, 1000, 50, 10.171771, 0.203426, 1, 1
100, 100, 2000, 50, 41.157888, 0.823141, 1, 1
100, 100, 3000, 50, 91.589259, 1.831761, 1, 1
100, 100, 4000, 50, 162.585476, 3.251676, 1, 1
100, 100, 5000, 50, 254.314776, 5.086255, 1, 1
100, 100, 6000, 50, 365.136760, 7.302686, 1, 1
100, 100, 7000, 50, 496.787060, 9.935684, 1, 1
100, 100, 8000, 50, 649.104425, 12.982023, 1, 1
100, 100, 9000, 50, 824.295155, 16.485829, 1, 1
100, 100, 10000, 50, 1015.076462, 20.301447, 1, 1
