Nx, Ny, particle_count, T, walltime, iteration_avg, max_Mass, number_of_threads
100, 100, 1000, 50, 2.014882, 0.040288, 1, 6
100, 100, 2000, 50, 7.900425, 0.157991, 1, 6
100, 100, 3000, 50, 16.450792, 0.328991, 1, 6
100, 100, 4000, 50, 28.516519, 0.570297, 1, 6
100, 100, 5000, 50, 46.181886, 0.923596, 1, 6
100, 100, 6000, 50, 64.256808, 1.285087, 1, 6
100, 100, 7000, 50, 90.003231, 1.800007, 1, 6
100, 100, 8000, 50, 112.027310, 2.240482, 1, 6
100, 100, 9000, 50, 141.053397, 2.820994, 1, 6
100, 100, 10000, 50, 175.601890, 3.511957, 1, 6
