Pi, error, walltime, number of tasks, number of locales
3.14166, 6.67104e-05, 20.3456, 8, 1
3.14164, 4.74344e-05, 19.0383, 8, 1
3.14163, 3.53024e-05, 19.6331, 8, 1
3.14169, 0.000101594, 18.9283, 8, 1
3.14174, 0.000143046, 18.5658, 8, 1
