Pi, error, walltime, number of tasks
3.14159, 6.1359e-07, 142.451, 1
3.14158, 8.10559e-06, 142.433, 1
3.14162, 2.98304e-05, 140.677, 1
3.14159, 2.24102e-08, 142.449, 1
3.14159, 5.25759e-06, 142.439, 1
