Pi, error, walltime, number of tasks
3.14153, 6.68976e-05, 17.901, 8
3.14167, 7.66104e-05, 17.9519, 8
3.1416, 4.82241e-06, 17.8862, 8
3.1415, 9.06936e-05, 18.163, 8
3.14168, 9.07064e-05, 17.9023, 8
