Pi, error, walltime, number of tasks, number of locales
3.14158, 1.04536e-05, 19.8131, 8, 2
3.14164, 5.16384e-05, 19.2087, 8, 2
3.14169, 9.78224e-05, 19.6468, 8, 2
3.14164, 5.22904e-05, 19.4889, 8, 2
3.14154, 5.01456e-05, 19.4082, 8, 2
