Pi, error, walltime, number of tasks
3.14155, 3.94096e-05, 71.4668, 2
3.1416, 5.04641e-06, 71.4312, 2
3.14159, 1.91759e-06, 71.4412, 2
3.14166, 6.35944e-05, 71.4613, 2
3.14154, 5.27536e-05, 71.4366, 2
